"","word","rank","flag","mildflag","hunspell_check"
"1","sex",989,1,0,1
"2","sexual",2300,1,0,1
"3","porn",3006,1,0,1
"4","ass",3114,1,0,1
"5","sexy",3894,1,0,1
"6","shit",4065,1,0,1
"7","fuck",4083,1,0,1
"8","fucking",4092,1,0,1
"9","cock",4200,1,0,1
"10","pussy",4467,1,0,1
"11","damn",5156,1,0,1
"12","crap",5511,1,0,1
"13","suck",6953,1,0,1
"14","cum",7226,1,0,1
"15","flesh",7534,1,0,1
"16","fucked",7567,1,0,1
"17","tits",7866,1,0,1
"18","sucks",7902,1,0,1
"19","dick",7905,1,0,1
"20","nude",7917,1,0,1
"21","sexually",9275,1,0,1
"22","bitch",10187,1,0,1
"23","horny",10531,1,0,1
"24","sucking",10597,1,0,1
"25","boobs",11482,1,0,1
"26","sucked",11614,1,0,1
"27","pissed",12978,0,1,1
"28","bullshit",13845,1,0,1
"29","crappy",14279,1,0,1
"30","milf",14760,1,0,1
"31","pee",14967,0,1,1
"32","asshole",15299,1,0,1
"33","piss",15505,0,1,1
"34","slut",15838,0,1,1
"35","cocks",16016,1,0,1
"36","damned",16109,1,0,1
"38","fucks",16335,1,0,1
"39","spit",16945,0,1,1
"40","poop",17006,0,1,1
"41","blowjob",17065,1,0,1
"42","cockpit",17747,1,0,1
"44","sucker",19190,1,0,1
"46","masturbation",19548,1,0,1
"47","whore",19800,0,1,1
"48","porno",19801,1,0,1
"49","threesome",20010,0,1,1
"50","cunt",20260,1,0,1
"51","shitty",20770,1,0,1
"52","bastard",21944,0,1,1
"53","bum",22074,0,1,1
"54","pissing",22539,0,1,1
"55","nudity",22983,1,0,1
"56","booze",23145,0,1,1
"57","pornstar",23807,1,0,0
"58","dicks",24585,1,0,1
"59","orgy",25065,0,1,1
"60","peeing",25953,0,1,1
"61","sexes",26188,1,0,1
"62","tranny",27085,1,0,0
"63","poo",27174,0,1,1
"64","pornstars",27250,1,0,0
"65","shemale",27259,1,0,0
"66","arse",27405,1,0,0
"67","stink",27532,0,1,1
"68","bitches",27606,1,0,1
"69","masturbating",28099,1,0,1
"70","assholes",28358,1,0,1
"71","sluts",28727,0,1,1
"72","clit",28734,1,0,1
"73","vibrator",29225,1,0,1
"74","squirt",29856,1,0,1
"75","spitting",30051,0,1,1
"76","boob",30887,1,0,1
"77","bastards",30909,0,1,1
"78","pussies",31158,1,0,1
"79","lube",31301,1,0,1
"80","fuckin",31302,1,0,0
"81","cumshot",31806,1,0,0
"82","fart",32659,1,0,1
"83","gangbang",32685,1,0,0
"84","ejaculation",33039,0,1,1
"85","perverted",33244,0,1,1
"86","milfs",33693,1,0,1
"87","blowjobs",34587,1,0,1
"88","goddamn",34816,1,0,1
"89","stinks",35252,0,1,1
"90","sexiest",35788,1,0,1
"91","masturbate",36621,1,0,1
"92","suckers",36961,1,0,1
"93","damning",37145,1,0,1
"94","squirting",37835,1,0,1
"95","whores",38037,0,1,1
"96","cocky",38247,1,0,1
"97","stinky",38654,0,1,1
"98","hooker",38898,0,1,1
"99","slutty",38920,0,1,1
"100","douche",39014,1,0,1
"101","nudist",39559,1,0,1
"102","creampie",39569,1,0,0
"103","friggin",39997,0,1,0
"104","motherfucker",41403,1,0,1
"105","stinking",41488,0,1,1
"106","bitching",41613,1,0,1
"108","pisses",42563,0,1,1
"109","pervert",42620,0,1,1
"111","twat",44217,0,1,1
"112","pooping",44277,0,1,1
"113","fleshy",44356,1,0,1
"114","puke",44560,0,1,1
"115","handjob",44634,1,0,0
"116","pedophile",44826,0,1,1
"117","bareback",45650,0,1,1
"118","redneck",45785,0,1,1
"119","shitting",46896,1,0,1
"120","nudes",47622,1,0,1
"121","fleshed",47788,1,0,1
"122","titties",47857,1,0,1
"123","spits",47900,0,1,1
"124","cumshots",48202,1,0,0
"125","fanfic",48257,0,1,0
"126","cumming",49071,1,0,1
"127","turd",49320,1,0,1
"128","cuckold",49975,1,0,1
"129","dumbass",49977,1,0,0
"130","cocked",50301,1,0,1
"131","cums",50403,1,0,1
"132","jizz",50447,1,0,0
"133","bums",50712,0,1,1
"134","fucker",51273,1,0,1
"135","farts",51635,1,0,1
"136","snot",52180,0,1,1
"137","sexier",52398,1,0,1
"138","boner",52425,1,0,1
"139","fanfiction",52529,0,1,0
"140","orgies",52693,0,1,1
"141","vibrators",52979,1,0,1
"142","boobies",52992,1,0,1
"143","clitoris",53382,1,0,1
"144","peed",53822,0,1,1
"145","nigger",54245,1,0,1
"146","pedophilia",54882,0,1,1
"147","shits",54946,1,0,1
"148","bitchy",55191,1,0,1
"149","bdsm",55421,1,0,0
"150","crapping",56010,1,0,1
"151","threesomes",56937,0,1,1
"152","damnation",56997,1,0,1
"153","masturbates",57260,1,0,1
"154","fuckers",57314,1,0,1
"155","fag",57489,0,1,1
"156","pedophiles",57798,0,1,1
"157","hookers",57939,0,1,1
"158","deepthroat",58738,1,0,0
